,Andrew,,,Daniel,,,Emma,,,Jennifer,,,Kristen,,,Matt,,,Paul,,,Rob,,,Rosa,,,Sheldon,,,Zendaya,
,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación
64,,,,,,,,,,,,,719,1.153539541,,,,,,,,,,,325,2.041214923,,,,,,
65,,,,,,,,,,,,,747,1.152742347,,,,,,,,,,,326,2.032445791,,,,,,
66,,,,,,,,,,,,,767,1.150350765,,,,,,,,,,,361,2.007732781,,,,,,
67,,,,,,,,,,,,,775,1.139190051,,,,,,,,,,,449,2.00653699,,,,,,
68,,,,,,,,,,,,,780,1.136001276,,,,,,,,,,,483,2.00255102,,,,,,
69,,,,,,,,,,,,,806,1.134406888,,,,,,,,,,,486,1.992984694,,,,,,
70,,,,,,,,,,,,,840,1.129623724,,,,,,,,,,,491,1.986607143,,,,,,
71,,,,,,,,,,,,,892,1.128427934,,,,,,,,,,,500,1.981026786,,,,,,
72,,,,,,,,,,,,,901,1.124043367,,,,,,,,,,,526,1.970663265,,,,,,
73,,,,,,,,,,,,,904,1.122847577,,,,,,,,,,,536,1.969068878,,,,,,
74,,,,,,,,,,,,,916,1.118064413,,,,,,,,,,,538,1.958705357,,,,,,
75,,,,,,,,,,,,,922,1.095742985,,,,,,,,,,,601,1.957908163,,,,,,
76,,,,,,,,,,,,,1426,1.09375,,,,,,,,,,,616,1.951530612,,,,,,
77,,,,,,,,,,,,,1758,1.08856824,,,,,,,,,,,707,1.948740434,,,,,,
78,,,,,,,,,,,,,1770,1.087771046,,,,,,,,,,,734,1.931202168,,,,,,
79,,,,,,,,,,,,,1829,1.080596301,,,,,,,,,,,963,1.927216199,,,,,,
80,,,,,,,,,,,,,1846,1.077008929,,,,,,,,,,,1070,1.915258291,,,,,,
81,,,,,,,,,,,,,1869,1.077008929,,,,,,,,,,,1131,1.909279337,,,,,,
82,,,,,,,,,,,,,1880,1.072624362,,,,,,,,,,,1402,1.904496173,,,,,,
83,,,,,,,,,,,,,1943,1.071428571,,,,,,,,,,,1477,1.902901786,,,,,,
84,,,,,,,,,,,,,1945,1.066246811,,,,,,,,,,,1775,1.89453125,,,,,,
85,,,,,,,,,,,,,1993,1.063058036,,,,,,,,,,,1850,1.88934949,,,,,,
